State,Population
United States,331464948
Alabama,5024294
Alaska,733374
Arizona,7157902
Arkansas,3011490
California,39538212
Colorado,5773707
Connecticut,3605912
Delaware,989946
District of Columbia,689548
Florida,21538216
Georgia,10713771
Hawaii,1455274
Idaho,1839117
Illinois,12813469
Indiana,6785442
Iowa,3190427
Kansas,2937835
Kentucky,4506297
Louisiana,4657785
Maine,1363177
Maryland,6177253
Massachusetts,7032933
Michigan,10077674
Minnesota,5706804
Mississippi,2961306
Missouri,6154889
Montana,1084244
Nebraska,1961965
Nevada,3104617
New Hampshire,1377524
New Jersey,9289039
New Mexico,2117525
New York,20202320
North Carolina,10439459
North Dakota,779079
Ohio,11799331
Oklahoma,3959411
Oregon,4237279
Pennsylvania,13002788
Rhode Island,1097371
South Carolina,5118422
South Dakota,886668
Tennessee,6910786
Texas,29145459
Utah,3271614
Vermont,643077
Virginia,8631373
Washington,7705267
West Virginia,1793713
Wisconsin,5893713
Wyoming,576850
Puerto Rico,3285874
